Year,player,team,bbrefid,namefirst,namelast,suffix
2024,Davis Wendzel,TEX,wendzda01,Davis,Wendzel,
2024,David Bote,CHC,boteda01,David,Bote,
2024,Gustavo Campero,LAA,campegu01,Gustavo,Campero,
2024,Jamie Westbrook,BOS,westbja02,Jamie,Westbrook,
2024,Jahmai Jones,NYY,jonesja08,Jahmai,Jones,
2024,Coby Mayo,BAL,mayoco01,Coby,Mayo,
2024,Shay Whitcomb,HOU,whitcsh01,Shay,Whitcomb,
2024,Steward Berroa,TOR,berrost01,Steward,Berroa,
2024,Yoán Moncada,CHW,moncayo01,Yoán,Moncada,
2024,Justin Foscue,TEX,foscuju01,Justin,Foscue,
2024,Seby Zavala,SEA,zavalse01,Seby,Zavala,
2024,Eli White,ATL,whiteel04,Eli,White,
2024,Nick Yorke,PIT,yorkeni01,Nick,Yorke,
2024,Luisangel Acuña,NYM,acunajo01,Luisangel,Acuña,
2024,Jonathan Ornelas,TEX,orneljo01,Jonathan,Ornelas,
2024,Jhonny Pereda,MIA,peredjh01,Jhonny,Pereda,
2024,Johnathan Rodríguez,CLE,rodrijo10,Johnathan,Rodríguez,
2024,Armando Alvarez,OAK,alvarar01,Armando,Alvarez,
2024,Zach Remillard,CHW,remilza01,Zach,Remillard,
2024,Jordyn Adams,LAA,adamsjo03,Jordyn,Adams,
2024,Oscar Colás,CHW,colasos01,Oscar,Colás,
2024,Tom Murphy,SFG,murphto04,Tom,Murphy,
2024,Blake Sabol,SFG,sabolbl01,Blake,Sabol,
2024,Logan Driscoll,TBR,drisclo01,Logan,Driscoll,
2024,David Villar,SFG,villada01,David,Villar,
2024,Joey Wendle,NYM,wendljo01,Joey,Wendle,
2024,Adael Amador,COL,amadoad01,Adael,Amador,
2024,Javier Sanoja,MIA,sanojja01,Javier,Sanoja,
2024,Forrest Wall,ATL,wallfo01,Forrest,Wall,
2024,Forrest Wall,MIA,wallfo01,Forrest,Wall,
2024,Aledmys Díaz,OAK,diazal02,Aledmys,Díaz,
2024,Aledmys Díaz,HOU,diazal02,Aledmys,Díaz,
2024,Niko Goodrum,TBR,goodrni01,Niko,Goodrum,
2024,Niko Goodrum,LAA,goodrni01,Niko,Goodrum,
2024,Nacho Alvarez Jr.,ATL,alvarna01,Nacho,Alvarez,Jr.
2024,Travis Blankenhorn,WSN,blanktr01,Travis,Blankenhorn,
2024,Graham Pauley,SDP,paulegr01,Graham,Pauley,
2024,César Salazar,HOU,salazce01,César,Salazar,
2024,Luis De Los Santos,TOR,deloslu03,Luis,De Los Santos,
2024,Tristan Gray,MIA,graytr01,Tristan,Gray,
2024,Tristan Gray,OAK,graytr01,Tristan,Gray,
2024,Jason Vosler,SEA,vosleja01,Jason,Vosler,
2024,Trenton Brooks,SFG,brooktr01,Trenton,Brooks,
2024,Blake Dunn,CIN,dunnbl01,Blake,Dunn,
2024,Ehire Adrianza,LAA,adriaeh01,Ehire,Adrianza,
2024,Alexander Canario,CHC,canaral01,Alexander,Canario,
2024,Charles Leblanc,LAA,leblach01,Charles,Leblanc,
2024,Billy McKinney,PIT,mckinbi01,Billy,McKinney,
2024,Joey Wiemer,MIL,wiemejo01,Joey,Wiemer,
2024,Joey Wiemer,CIN,wiemejo01,Joey,Wiemer,
2024,Keston Hiura,LAA,hiurake01,Keston,Hiura,
2024,Owen Miller,MIL,milleow01,Owen,Miller,
2024,Cal Stevenson,PHI,steveca01,Cal,Stevenson,
2024,Jace Peterson,ARI,peterja01,Jace,Peterson,
2024,Buddy Kennedy,DET,kennebu01,Buddy,Kennedy,
2024,Buddy Kennedy,PHI,kennebu01,Buddy,Kennedy,
2024,Donovan Walton,SFG,waltodo01,Donovan,Walton,
2024,Mickey Gasper,BOS,gaspemi01,Mickey,Gasper,
2024,Pedro León,HOU,leonpe01,Pedro,León,
2024,Austin Wynns,CIN,wynnsau01,Austin,Wynns,
2024,Isaac Collins,MIL,colliis01,Isaac,Collins,
2024,Jason Delay,PIT,delayja01,Jason,Delay,
2024,Drew Waters,KCR,waterdr01,Drew,Waters,
2024,Jorge Barrosa,ARI,barrojo01,Jorge,Barrosa,
2024,Bubba Thompson,CIN,thompbu01,Bubba,Thompson,
2024,Rafael Ortega,CHW,ortegra01,Rafael,Ortega,
2024,Brett Sullivan,SDP,sullibr01,Brett,Sullivan,
2024,Sam Haggerty,SEA,haggesa01,Sam,Haggerty,
2024,Tyler Heineman,BOS,heinety01,Tyler,Heineman,
2024,Tyler Heineman,TOR,heinety01,Tyler,Heineman,
2024,Liván Soto,CIN,sotoli01,Liván,Soto,
2024,Liván Soto,BAL,sotoli01,Liván,Soto,
2024,Kameron Misner,TBR,misneka01,Kameron,Misner,
2024,Carlos Narváez,NYY,narvaca01,Carlos,Narváez,
2024,Jakson Reetz,SFG,reetzja01,Jakson,Reetz,
2024,Ryan McKenna,BAL,mckenry01,Ryan,McKenna,
2024,Ryan McKenna,SFG,mckenry01,Ryan,McKenna,
2024,Darren Baker,WSN,bakerda02,Darren,Baker,
2024,Hunter Feduccia,LAD,feduchu01,Hunter,Feduccia,
2024,DaShawn Keirsey Jr.,MIN,keirsda01,DaShawn,Keirsey,Jr.
2024,Luis Vázquez,CHC,vazqulu01,Luis,Vázquez,
2024,Brandon Lockridge,SDP,lockrbr01,Brandon,Lockridge,
2024,Bryce Teodosio,LAA,teodobr01,Bryce,Teodosio,
2024,Levi Jordan,CIN,jordale01,Levi,Jordan,
2024,Oswald Peraza,NYY,perazos02,Oswald,Peraza,
2024,Kevin Alcántara,CHC,alcanke01,Kevin,Alcántara,
2024,Matt Duffy,TEX,duffyma01,Matt,Duffy,
2024,Michael Helman,MIN,helmami01,Michael,Helman,
2024,Tony Kemp,BAL,kempto01,Tony,Kemp,
2024,J.P. Martínez,ATL,martijp01,J.P.,Martínez,
2024,Liover Peguero,PIT,pegueli01,Liover,Peguero,
2024,Edwin Ríos,CIN,riosed01,Edwin,Ríos,
2024,Rob Brantly,TBR,brantro01,Rob,Brantly,
2024,Vinny Capra,MIL,capravi01,Vinny,Capra,
2024,David Fletcher,ATL,fletcda02,David,Fletcher,
2024,Cade Marlowe,SEA,marloca01,Cade,Marlowe,
2024,CJ Alexander,KCR,alexacj01,CJ,Alexander,
2024,Conner Capel,CIN,capelco01,Conner,Capel,
2024,Diego Castillo,MIN,castidi02,Diego,Castillo,
2024,Cooper Hummel,HOU,hummeco01,Cooper,Hummel,
2024,Grant Koch,PIT,kochgr01,Grant,Koch,
2024,Taylor Trammell,LAD,trammta01,Taylor,Trammell,
2024,Taylor Trammell,NYY,trammta01,Taylor,Trammell,
2024,Jair Camargo,MIN,camarja01,Jair,Camargo,
