"playerid","bbrefid","name","player_url"
bowliwe01,bowliwe01,Weldon Bowlin,https://www.baseball-reference.com/players/b/bowliwe01.shtml
brackan01,brackan01,Andrew Brackman,https://www.baseball-reference.com/players/b/brackan01.shtml
bradedo01,bradedo01,Don Bradey,https://www.baseball-reference.com/players/b/bradedo01.shtml
brady01,brady01,Spike Brady,https://www.baseball-reference.com/players/b/brady01.shtml
caseybi01,caseybi01,Tommy Casey,https://www.baseball-reference.com/players/c/caseybi01.shtml
brannmi01,brannmi01,Mike Brannock,https://www.baseball-reference.com/players/b/brannmi01.shtml
breital01,breital01,Alonzo Breitenstein,https://www.baseball-reference.com/players/b/breital01.shtml
bristda99,bristda99,Dave Bristol,https://www.baseball-reference.com/players/b/bristda99.shtml
brown01,brown01,Robert Brown,https://www.baseball-reference.com/players/b/brown01.shtml
brownba01,brownba01,Barret Browning,https://www.baseball-reference.com/players/b/brownba01.shtml
brownca01,brownca01,Cal Browning,https://www.baseball-reference.com/players/b/brownca01.shtml
brownda99,brownda99,Daren Brown,https://www.baseball-reference.com/players/b/brownda99.shtml
brownfr99,brownfr99,Freeman Brown,https://www.baseball-reference.com/players/b/brownfr99.shtml
brownjo02,brownjo02,John Brown,https://www.baseball-reference.com/players/b/brownjo02.shtml
brownjo05,brownjo05,Jordan Brown,https://www.baseball-reference.com/players/b/brownjo05.shtml
brownol01,brownol01,Oliver Brown,https://www.baseball-reference.com/players/b/brownol01.shtml
brownra02,brownra02,Randy Brown,https://www.baseball-reference.com/players/b/brownra02.shtml
brownro01,brownro02,Roosevelt Brown,https://www.baseball-reference.com/players/b/brownro02.shtml
bruetjt01,bruetj.01,J. T. Bruett,https://www.baseball-reference.com/players/b/bruetj.01.shtml
brummty01,brummty01,Tyson Brummett,https://www.baseball-reference.com/players/b/brummty01.shtml
bryange01,bryange01,George Bryant,https://www.baseball-reference.com/players/b/bryange01.shtml
brydetr01,brydet.01,T. R. Bryden,https://www.baseball-reference.com/players/b/brydet.01.shtml
buckeal99,buckeal99,Al Buckenberger,https://www.baseball-reference.com/players/b/buckeal99.shtml
buckied01,buckied01,Fred Buckingham,https://www.baseball-reference.com/players/b/buckied01.shtml
budd01,budd01,Jay Budd,https://www.baseball-reference.com/players/b/budd01.shtml
buentja01,buentja01,Jay Buente,https://www.baseball-reference.com/players/b/buentja01.shtml
bulkemo99,bulkemo99,Morgan Bulkeley,https://www.baseball-reference.com/players/b/bulkemo99.shtml
buncejo01,buncejo01,Josh Bunce,https://www.baseball-reference.com/players/b/buncejo01.shtml
burkebi01,burkebi01,William Burke,https://www.baseball-reference.com/players/b/burkebi01.shtml
burkeja01,burkeja01,James Burke,https://www.baseball-reference.com/players/b/burkeja01.shtml
burkejo01,burkejo01,Joe Burke,https://www.baseball-reference.com/players/b/burkejo01.shtml
burkemi01,burkemi01,Mike Burke,https://www.baseball-reference.com/players/b/burkemi01.shtml
burneaj01,burnea.01,A. J. Burnett,https://www.baseball-reference.com/players/b/burnea.01.shtml
burnhwa99,burnhwa99,Watch Burnham,https://www.baseball-reference.com/players/b/burnhwa99.shtml
burnscb01,burnsc.01,C. B. Burns,https://www.baseball-reference.com/players/b/burnsc.01.shtml
burral01,burral01,Tom Burr,https://www.baseball-reference.com/players/b/burral01.shtml
burtfr01,burtfr01,Frank Burt,https://www.baseball-reference.com/players/b/burtfr01.shtml
butlebi01,butlebi01,Bill Butler,https://www.baseball-reference.com/players/b/butlebi01.shtml
butleor99,butleor99,Ormond Butler,https://www.baseball-reference.com/players/b/butleor99.shtml
byersbu01,byersbu01,Burley Bayer,https://www.baseball-reference.com/players/b/byersbu01.shtml
byrnech99,byrnech99,Charlie Byrne,https://www.baseball-reference.com/players/b/byrnech99.shtml
callaed01,callaed01,Ed Callahan,https://www.baseball-reference.com/players/c/callaed01.shtml
callaji01,callaji02,Jim Callahan,https://www.baseball-reference.com/players/c/callaji02.shtml
callajo02,callaji01,John Callahan,https://www.baseball-reference.com/players/c/callaji01.shtml
callal01,callal02,Alex Call,https://www.baseball-reference.com/players/c/callal02.shtml
campbhu01,campbhu01,Hugh Campbell,https://www.baseball-reference.com/players/c/campbhu01.shtml
campbhu02,campbma02,Marc Campbell,https://www.baseball-reference.com/players/c/campbma02.shtml
campbmi02,campbma01,Michael Campbell,https://www.baseball-reference.com/players/c/campbma01.shtml
campbsa01,campbsa01,Sam Campbell,https://www.baseball-reference.com/players/c/campbsa01.shtml
campojo01,campovi01,Vicente Campos,https://www.baseball-reference.com/players/c/campovi01.shtml
cantijo99,cantijo99,Joe Cantillon,https://www.baseball-reference.com/players/c/cantijo99.shtml
carfred01,carfred01,Ed Carfrey,https://www.baseball-reference.com/players/c/carfred01.shtml
carlfr01,carlfr01,Fred Carl,https://www.baseball-reference.com/players/c/carlfr01.shtml
carlle01,carlle01,John Carl,https://www.baseball-reference.com/players/c/carlle01.shtml
